"SpeciesnameEurope","Family","Subfamily","PhylogeneticOrder","AuthorYear","Genus","Species","EnglishName","RedListCategoryEurope","RedListCategoryEU","HabitatsDirective","SPECstatus","EuropeanEndemic","EUEndemic","Endemic","EdgeOfRange","Comments"
"Pieris mannii","Pieridae","Pierinae",97,"(Mayer, 1851)","Pieris","mannii","Southern Small White","LC","LC",,,,,,,
"Pieris napi","Pieridae","Pierinae",100,"(Linnaeus, 1758)","Pieris","napi","Green-veined White","LC","LC",,,,,,,
"Pieris rapae","Pieridae","Pierinae",96,"(Linnaeus, 1758)","Pieris","rapae","Small White","LC","LC",,,,,,,
"Pieris wollastoni","Pieridae","Pierinae",94,"(Butler, 1886)","Pieris","wollastoni","Madeiran Large White","CR","CR",,"SPEC1","EuropeanEndemic","EUEndemic","Madeira Islands",,
"Plebejidea loewii","Lycaenidae","Polyommatinae",202,"(Zeller, 1847)","Plebejidea","loewii","Loew's Blue","NtA","NtA",,,,,,"EoR",
"Plebejus argus","Lycaenidae","Polyommatinae",191,"(Linnaeus, 1758)","Plebejus","argus","Silver-studded Blue","LC","LC",,,,,,,
"Plebejus argyrognomon","Lycaenidae","Polyommatinae",194,"(Bergsträsser, 1779)","Plebejus","argyrognomon","Reverdin's Blue","LC","LC",,,,,,,
"Plebejus bellieri","Lycaenidae","Polyommatinae",193,"(Oberthür, 1910)","Plebejus","bellieri","Bellier's Blue","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Plebejus idas","Lycaenidae","Polyommatinae",192,"(Linnaeus, 1760)","Plebejus","idas","Idas Blue","LC","LC",,,,,,,
"Polygonia c-album","Nymphalidae","Nymphalinae",300,"(Linnaeus, 1758)","Polygonia","c-album","Comma","LC","LC",,,,,,,
"Polygonia egea","Nymphalidae","Nymphalinae",299,"(Cramer, 1775)","Polygonia","egea","Southern Comma","LC","LC",,,,,,,
"Polyommatus admetus","Lycaenidae","Polyommatinae",239,"(Esper, 1783)","Polyommatus","admetus","Anomalous Blue","LC","LC",,,,,,,
"Polyommatus amandus","Lycaenidae","Polyommatinae",229,"(Schneider, 1792)","Polyommatus","amandus","Amanda's Blue","LC","LC",,,,,,,
"Polyommatus aroaniensis","Lycaenidae","Polyommatinae",250,"(Brown, 1976)","Polyommatus","aroaniensis","Grecian Anomalous Blue","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Polyommatus celina","Lycaenidae","Polyommatinae",233,"(Austaut, 1879)","Polyommatus","celina","Austaut's Blue",,,,,,,,,
"Polyommatus damocles","Lycaenidae","Polyommatinae",238,"(Herrich-Schäffer, 1844)","Polyommatus","damocles","suggestion:","DD","NE",,,,,,,
"Polyommatus damon","Lycaenidae","Polyommatinae",236,"([Denis & Schiffermüller], 1775)","Polyommatus","damon","Damon Blue","NT","NT",,"SPEC2",,,,,
"Polyommatus damone","Lycaenidae","Polyommatinae",237,"(Eversmann, 1841)","Polyommatus","damone","Crimean Blue","NtA","NtA",,,,,,"EoR",
"Polyommatus daphnis","Lycaenidae","Polyommatinae",228,"([Denis & Schiffermüller], 1775)","Polyommatus","daphnis","Meleager's Blue","LC","LC",,,,,,,
"Polyommatus dolus","Lycaenidae","Polyommatinae",246,"(Hübner, 1823)","Polyommatus","dolus","Furry Blue","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Polyommatus dorylas","Lycaenidae","Polyommatinae",232,"([Denis & Schiffermüller], 1775)","Polyommatus","dorylas","Turqouise Blue","NT","NT",,"SPEC2",,,,,
"Polyommatus eros","Lycaenidae","Polyommatinae",235,"(Ochsenheimer, 1808)","Polyommatus","eros","Eros Blue","NT","NT",,"SPEC2",,,,,
"Polyommatus escheri","Lycaenidae","Polyommatinae",226,"(Hübner, 1823)","Polyommatus","escheri","Escher's Blue","LC","LC",,,,,,,
"Polyommatus fabressei","Lycaenidae","Polyommatinae",245,"(Oberthür, 1910)","Polyommatus","fabressei","Oberthür's Anomalous Blue","LC","LC",,,"EuropeanEndemic","EUEndemic","Spain",,
"Polyommatus fulgens","Lycaenidae","Polyommatinae",244,"(Sagarra, 1925)","Polyommatus","fulgens","Catalonian Furry Blue","LC","LC",,,"EuropeanEndemic","EUEndemic","Spain",,
"Polyommatus golgus","Lycaenidae","Polyommatinae",230,"(Hübner, 1813)","Polyommatus","golgus","Nevada Blue","VU","VU","II+IV","SPEC1","EuropeanEndemic","EUEndemic","Spain",,
"Polyommatus humedasae","Lycaenidae","Polyommatinae",247,"(Toso & Balletto, 1976)","Polyommatus","humedasae","Piedmont Anomalous Blue","EN","EN",,"SPEC1","EuropeanEndemic","EUEndemic","Italy",,
"Polyommatus icarus","Lycaenidae","Polyommatinae",234,"(Rottemburg, 1775)","Polyommatus","icarus","Common Blue","LC","LC",,,,,,,
"Polyommatus iphigenia","Lycaenidae","Polyommatinae",242,"(Herrich-Schäffer, 1847)","Polyommatus","iphigenia","Chelmos Blue","NtA","NtA",,,,,,"EoR",
"Polyommatus nephohiptamenos","Lycaenidae","Polyommatinae",241,"(Brown & Coutsis, 1978)","Polyommatus","nephohiptamenos","Higgins' Anomalous Blue","NT","NT",,"SPEC2","EuropeanEndemic","EUEndemic",,,
"Polyommatus nivescens","Lycaenidae","Polyommatinae",231,"(Keferstein, 1851)","Polyommatus","nivescens","Mother-of-pearl Blue","NT","NT",,"SPEC2","EuropeanEndemic","EUEndemic","Spain",,
"Polyommatus orphicus","Lycaenidae","Polyommatinae",249,"Kolev, 2005","Polyommatus","orphicus","Kolev's Anomalous Blue","VU","VU",,"SPEC1","EuropeanEndemic","EUEndemic",,,
"Polyommatus ripartii","Lycaenidae","Polyommatinae",240,"(Freyer, 1830)","Polyommatus","ripartii","Ripart's Anomalous Blue","LC","NT",,,,,,,
"Polyommatus thersites","Lycaenidae","Polyommatinae",227,"(Cantener, 1835)","Polyommatus","thersites","Chapman's Blue","LC","LC",,,,,,,
"Polyommatus timfristos","Lycaenidae","Polyommatinae",248,"Lukhtanov, Vishnevskaya & Shapoval, 2016","Polyommatus","timfristos","suggestion: Timfristos Anomalous Blue",,,,,"EuropeanEndemic","EUEndemic","Greece",,
"Polyommatus violetae","Lycaenidae","Polyommatinae",243,"(Gómez-Bustillo, Expósito & Martínez, 1979)","Polyommatus","violetae","Andalusian Anomalous Blue","VU","VU",,"SPEC1","EuropeanEndemic","EUEndemic","Spain",,
"Pontia callidice","Pieridae","Pierinae",89,"(Hübner, 1800)","Pontia","callidice","Peak White","LC","LC",,,,,,,
"Pontia chloridice","Pieridae","Pierinae",88,"(Hübner, 1813)","Pontia","chloridice","Small Bath White","LC","LC",,,,,,,
"Pontia daplidice","Pieridae","Pierinae",91,"(Linnaeus, 1758)","Pontia","daplidice","Bath White","LC","LC",,,,,,,
"Pontia edusa","Pieridae","Pierinae",90,"(Fabricius, 1777)","Pontia","edusa","Eastern Bath White","LC","LC",,,,,,,
"Praephilotes anthracias","Lycaenidae","Polyommatinae",174,"(Christoph, 1877)","Praephilotes","anthracias","suggestion:","NtA","NtA",,,,,,"EoR",
"Proterebia phegea","Nymphalidae","Satyrinae",425,"(Borkhausen, 1788)","Proterebia","phegea","Dalmatian Ringlet","LC","LC",,,,,,,
"Pseudochazara amalthea","Nymphalidae","Satyrinae",417,"(Frivaldszky, 1845)","Pseudochazara","amalthea","suggestion:",,,,,"EuropeanEndemic",,,,
"Pseudochazara amymone","Nymphalidae","Satyrinae",415,"Brown, 1976","Pseudochazara","amymone","Brown's Grayling","VU","VU",,"SPEC1","EuropeanEndemic","EUEndemic",,,
"Pseudochazara anthelea","Nymphalidae","Satyrinae",416,"(Hübner, 1824)","Pseudochazara","anthelea","White-banded Grayling","LC","LC",,,,,,,
"Pseudochazara cingovskii","Nymphalidae","Satyrinae",421,"(Gross, 1973)","Pseudochazara","cingovskii","Macedonian Grayling","CR","NE",,"SPEC1","EuropeanEndemic",,"Republic of Macedonia",,
"Pseudochazara euxina","Nymphalidae","Satyrinae",419,"(Kuznetsov, 1909)","Pseudochazara","euxina","suggestion:","EN","NE",,"SPEC1","EuropeanEndemic",,"Ukraine",,
"Pseudochazara geyeri","Nymphalidae","Satyrinae",413,"(Herrich-Schäffer, 1846)","Pseudochazara","geyeri","Gray Asian Grayling","LC","LC",,,,,,,
"Pseudochazara graeca","Nymphalidae","Satyrinae",414,"(Staudinger, 1870)","Pseudochazara","graeca","Grecian Grayling","LC","LC",,,"EuropeanEndemic",,,,
"Pseudochazara mercurius","Nymphalidae","Satyrinae",420,"(Staudinger, 1887)","Pseudochazara","mercurius","Nevada Grayling",,,,,,,,"EoR",
"Pseudochazara orestes","Nymphalidae","Satyrinae",423,"De Prins & van der Poorten, 1981","Pseudochazara","orestes","Dils' Grayling","VU","VU",,"SPEC1","EuropeanEndemic","EUEndemic",,,
"Pseudochazara tisiphone","Nymphalidae","Satyrinae",422,"Brown, [1981]","Pseudochazara","tisiphone","Dark Grayling",,,,,,,,,
"Pseudochazara williamsi","Nymphalidae","Satyrinae",418,"(Romei, 1927)","Pseudochazara","williamsi","suggestion:",,,,,"EuropeanEndemic","EUEndemic",,,
"Pseudophilotes abencerragus","Lycaenidae","Polyommatinae",169,"(Pierret, 1837)","Pseudophilotes","abencerragus","False Baton Blue","LC","LC",,,,,,,
"Pseudophilotes barbagiae","Lycaenidae","Polyommatinae",168,"De Prins & van der Poorten, 1982","Pseudophilotes","barbagiae","Sardinian Blue","LC","LC",,,"EuropeanEndemic","EUEndemic","Italy - Sardinia",,
"Pseudophilotes baton","Lycaenidae","Polyommatinae",172,"(Bergsträsser, 1779)","Pseudophilotes","baton","Baton Blue","LC","LC",,"SPEC4","EuropeanEndemic",,,,
"Pseudophilotes bavius","Lycaenidae","Polyommatinae",167,"(Eversmann, 1832)","Pseudophilotes","bavius","Bavius Blue","LC","LC","II+IV","SPEC3",,,,,
"Pseudophilotes panoptes","Lycaenidae","Polyommatinae",170,"(Hübner, 1813)","Pseudophilotes","panoptes","Panoptes Blue","NT","NT",,"SPEC2","EuropeanEndemic","EUEndemic",,,
"Pseudophilotes vicrama","Lycaenidae","Polyommatinae",171,"(Moore, 1865)","Pseudophilotes","vicrama","Eastern Baton Blue","NT","NT",,"SPEC2",,,,,
"Pyrgus alveus","Hesperiidae","Pyrginae",56,"(Hübner, 1803)","Pyrgus","alveus","Large Grizzled Skipper","LC","LC",,,,,,,
"Pyrgus andromedae","Hesperiidae","Pyrginae",53,"(Wallengren, 1853)","Pyrgus","andromedae","Alpine Grizzled Skipper","LC","LC",,,"EuropeanEndemic",,,,
"Pyrgus armoricanus","Hesperiidae","Pyrginae",55,"(Oberthür, 1910)","Pyrgus","armoricanus","Oberthür's Grizzled Skipper","LC","LC",,,,,,,
"Pyrgus cacaliae","Hesperiidae","Pyrginae",52,"(Rambur, 1839)","Pyrgus","cacaliae","Dusky Grizzled Skipper","LC","LC",,,"EuropeanEndemic",,,,
"Pyrgus carlinae","Hesperiidae","Pyrginae",60,"(Rambur, 1839)","Pyrgus","carlinae","Carline Skipper","LC","LC",,,"EuropeanEndemic",,,,
"Pyrgus carthami","Hesperiidae","Pyrginae",49,"(Hübner, 1813)","Pyrgus","carthami","Safflower Skipper","LC","LC",,,,,,,
"Pyrgus centaureae","Hesperiidae","Pyrginae",51,"(Rambur, 1839)","Pyrgus","centaureae","Northern Grizzled Skipper","LC","LC",,,,,,,
"Pyrgus cinarae","Hesperiidae","Pyrginae",62,"(Rambur, 1839)","Pyrgus","cinarae","Sandy Grizzled Skipper","LC","LC",,,,,,,
"Pyrgus cirsii","Hesperiidae","Pyrginae",61,"(Rambur, 1839)","Pyrgus","cirsii","Cinquefoil Skipper","VU","VU",,"SPEC1","EuropeanEndemic",,,,
"Pyrgus foulquieri","Hesperiidae","Pyrginae",58,"(Oberthür, 1910)","Pyrgus","foulquieri","Foulquier's Grizzled Skipper","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Pyrgus malvae","Hesperiidae","Pyrginae",48,"(Linnaeus, 1758)","Pyrgus","malvae","Grizzled Skipper","LC","LC",,,,,,,
"Pyrgus malvoides","Hesperiidae","Pyrginae",47,"(Elwes & Edwards, 1897)","Pyrgus","malvoides","Southern Grizzled Skipper","LC","LC",,,"EuropeanEndemic",,,,
"Pyrgus onopordi","Hesperiidae","Pyrginae",59,"(Rambur, 1839)","Pyrgus","onopordi","Rosy Grizzled Skipper","LC","LC",,,,,,,
"Pyrgus serratulae","Hesperiidae","Pyrginae",54,"(Rambur, 1839)","Pyrgus","serratulae","Olive Skipper","LC","NT",,,,,,,
"Pyrgus sidae","Hesperiidae","Pyrginae",50,"(Esper, 1784)","Pyrgus","sidae","Yellow-banded Skipper","LC","LC",,,,,,,
"Pyrgus warrenensis","Hesperiidae","Pyrginae",57,"(Verity, 1928)","Pyrgus","warrenensis","Warren's Skipper","LC","LC",,,"EuropeanEndemic",,,,
"Pyronia bathseba","Nymphalidae","Satyrinae",432,"(Fabricius, 1793)","Pyronia","bathseba","Spanish Gatekeeper","LC","LC",,,,,,,
"Pyronia cecilia","Nymphalidae","Satyrinae",429,"(Vallantin, 1894)","Pyronia","cecilia","Southern Gatekeeper","LC","LC",,,,,,,
"Pyronia tithonus","Nymphalidae","Satyrinae",431,"(Linnaeus, 1771)","Pyronia","tithonus","Gatekeeper","LC","LC",,"SPEC3",,,,,
"Satyrium acaciae","Lycaenidae","Theclinae",152,"(Fabricius, 1787)","Satyrium","acaciae","Sloe Hairstreak","LC","LC",,,,,,,
"Satyrium esculi","Lycaenidae","Theclinae",148,"(Hübner, 1804)","Satyrium","esculi","False Ilex Hairstreak","LC","LC",,,,,,,
"Satyrium ilicis","Lycaenidae","Theclinae",147,"(Esper, 1779)","Satyrium","ilicis","Ilex Hairstreak","LC","LC",,"SPEC3",,,,,
"Satyrium ledereri","Lycaenidae","Theclinae",149,"(Boisduval, 1848)","Satyrium","ledereri","Orange-banded Hairstreak","NtA","NtA",,,,,,"EoR",
"Satyrium pruni","Lycaenidae","Theclinae",146,"(Linnaeus, 1758)","Satyrium","pruni","Black Hairstreak","LC","LC",,,,,,,
"Satyrium spini","Lycaenidae","Theclinae",151,"([Denis & Schiffermüller], 1775)","Satyrium","spini","Blue-spot Hairstreak","LC","LC",,,,,,,
"Satyrium w-album","Lycaenidae","Theclinae",150,"(Knoch, 1782)","Satyrium","w-album","White-letter Hairstreak","LC","LC",,,,,,,
"Satyrus actaea","Nymphalidae","Satyrinae",409,"(Esper, 1781)","Satyrus","actaea","Black Satyr","LC","LC",,,"EuropeanEndemic",,,,
"Satyrus ferula","Nymphalidae","Satyrinae",407,"(Fabricius, 1793)","Satyrus","ferula","Great Sooty Satyr","LC","LC",,,,,,,
"Satyrus virbius","Nymphalidae","Satyrinae",408,"Herrich-Schäffer, 1844","Satyrus","virbius","Crimean Sooty Satyr","LC","NE",,,"EuropeanEndemic",,,,
"Scolitantides orion","Lycaenidae","Polyommatinae",173,"(Pallas, 1771)","Scolitantides","orion","Checkered Blue","LC","NT",,,,,,,
"Speyeria aglaja","Nymphalidae","Heliconiinae",264,"(Linnaeus, 1758)","Speyeria","aglaja","Dark Green Fritillary","LC","LC",,,,,,,
"Spialia orbifer","Hesperiidae","Pyrginae",34,"(Hübner, 1823)","Spialia","orbifer","Hungarian Skipper","LC","LC",,,,,,,
"Spialia phlomidis","Hesperiidae","Pyrginae",30,"(Herrich-Schäffer, 1845)","Spialia","phlomidis","Persian Skipper","LC","LC",,,,,,,
"Spialia rosae","Hesperiidae","Pyrginae",33,"Hernández-Roldán, Dapporto, Dinca, Vicente & Vila, 2016","Spialia","rosae","suggestion:",,,,,"EuropeanEndemic","EUEndemic","Spain",,
"Spialia sertorius","Hesperiidae","Pyrginae",31,"(Hoffmansegg, 1804)","Spialia","sertorius","Red-underwing Skipper","LC","LC",,,,,,,
"Spialia therapne","Hesperiidae","Pyrginae",32,"(Rambur, 1832)","Spialia","therapne","Corsican Red-underwing Skipper","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Tarucus balkanicus","Lycaenidae","Polyommatinae",161,"(Freyer, 1844)","Tarucus","balkanicus","Little Tiger Blue","LC","LC",,,,,,,
"Tarucus theophrastus","Lycaenidae","Polyommatinae",160,"(Fabricius, 1793)","Tarucus","theophrastus","Common Tiger Blue","LC","LC",,,,,,,
"Thecla betulae","Lycaenidae","Theclinae",135,"(Linnaeus, 1758)","Thecla","betulae","Brown Hairstreak","LC","LC",,,,,,,
"Thymelicus acteon","Hesperiidae","Hesperiinae",26,"(Rottemburg, 1775)","Thymelicus","acteon","Lulworth Skipper","NT","NT",,"SPEC2",,,,,
"Thymelicus christi","Hesperiidae","Hesperiinae",25,"Rebel, 1894","Thymelicus","christi","Canarian Skipper","LC","LC",,,"EuropeanEndemic","EUEndemic","Canary Islands",,
"Thymelicus hyrax","Hesperiidae","Hesperiinae",27,"(Lederer, 1861)","Thymelicus","hyrax","Levantine Skipper","LC","LC",,,,,,,
"Thymelicus lineola","Hesperiidae","Hesperiinae",29,"(Ochsenheimer, 1808)","Thymelicus","lineola","Essex Skipper","LC","LC",,,,,,,
"Thymelicus sylvestris","Hesperiidae","Hesperiinae",28,"(Poda, 1761)","Thymelicus","sylvestris","Small Skipper","LC","LC",,,,,,,
"Tomares ballus","Lycaenidae","Theclinae",138,"(Fabricius, 1787)","Tomares","ballus","Provence Hairstreak","LC","LC",,,,,,,
"Tomares callimachus","Lycaenidae","Theclinae",140,"(Eversmann, 1848)","Tomares","callimachus","Caucasian Vernal Copper","LC","NE",,"SPEC3",,,,"EoR",
"Tomares nogelii","Lycaenidae","Theclinae",139,"(Herrich-Schäffer, 1851)","Tomares","nogelii","Nogel's Hairstreak","VU","RE",,"SPEC1",,,,"EoR",
"Tongeia fischeri","Lycaenidae","Polyommatinae",183,"(Eversmann, 1843)","Tongeia","fischeri","suggestion:","NtA","NtA",,,,,,"EoR",
"Turanana taygetica","Lycaenidae","Polyommatinae",166,"(Rebel, 1902)","Turanana","taygetica","Odd-spot Blue","EN","EN",,"SPEC1",,,,"EoR",
"Vanessa atalanta","Nymphalidae","Nymphalinae",295,"(Linnaeus, 1758)","Vanessa","atalanta","Red Admiral","LC","LC",,,,,,,
"Vanessa cardui","Nymphalidae","Nymphalinae",293,"(Linnaeus, 1758)","Vanessa","cardui","Painted Lady","LC","LC",,,,,,,
"Vanessa virginiensis","Nymphalidae","Nymphalinae",292,"(Drury, 1773)","Vanessa","virginiensis","American Painted Lady","NtA","NtA",,,,,,"EoR",
"Vanessa vulcania","Nymphalidae","Nymphalinae",294,"Godart, 1819","Vanessa","vulcania","Canary Red Admiral","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Ypthima asterope","Nymphalidae","Satyrinae",424,"(Klug, 1832)","Ypthima","asterope","African Ringlet","NtA","NtA",,,,,,"EoR",
"Zegris eupheme","Pieridae","Pierinae",115,"(Esper, 1804)","Zegris","eupheme","Sooty Orange-tip","NT","NT",,"SPEC2",,,,,
"Zegris pyrothoe","Pieridae","Pierinae",114,"(Eversmann, 1832)","Zegris","pyrothoe","Eversmann's Sooty Orange-tip","NtA","NtA",,,,,,"EoR",
"Zerynthia cassandra","Papilionidae","Parnassiinae",15,"(Geyer, [1828])","Zerynthia","cassandra","Italian Festoon",,,,,"EuropeanEndemic","EUEndemic","Italy",,
"Zerynthia caucasica","Papilionidae","Parnassiinae",12,"(Lederer, 1864)","Zerynthia","caucasica","Caucasian Festoon","NtA","NtA",,,,,,"EoR",
"Zerynthia cerisy","Papilionidae","Parnassiinae",10,"(Godart, 1824)","Zerynthia","cerisy","Eastern Festoon","NT","NT",,"SPEC2",,,,,
"Zerynthia cretica","Papilionidae","Parnassiinae",11,"(Rebel, 1904)","Zerynthia","cretica","Cretan Festoon","LC","LC",,,"EuropeanEndemic","EUEndemic","Greece - Crete",,
"Zerynthia polyxena","Papilionidae","Parnassiinae",14,"([Denis & Schiffermüller], 1775)","Zerynthia","polyxena","Southern Festoon","LC","LC","IV",,,,,,
"Zerynthia rumina","Papilionidae","Parnassiinae",13,"(Linnaeus, 1758)","Zerynthia","rumina","Spanish Festoon","LC","LC",,,,,,,
"Zizeeria karsandra","Lycaenidae","Polyommatinae",181,"(Moore, 1865)","Zizeeria","karsandra","Dark Grass Blue","NtA","NtA",,,,,,"EoR",
"Zizeeria knysna","Lycaenidae","Polyommatinae",180,"(Trimen, 1862)","Zizeeria","knysna","African Grass Blue","NtA","NtA",,,,,,"EoR",
