"raw_speciesname_europe","fit.x","NCountries","nCountriesRLEur","RedListCategoryEurope","EuropeanEndemic","Endemic","EdgeOfRange","fit.y","nCountriesRLEU","NCountriesEU","RedListCategoryEU","HabitatsDirective"
"Cupido argiades",9.27,32,32,"LC",0,0,0,9.27,20,20,"LC",0
"Pseudochazara amalthea",9.17,6,6,0,"EuropeanEndemic",0,0,9.17,3,3,0,0
"Agriades glandon",9.14,8,8,"LC","EuropeanEndemic",0,0,9.14,5,5,"LC",0
"Brenthis ino",9.03,36,36,"LC",0,0,0,9.03,23,23,"LC",0
"Satyrus ferula",9,14,14,"LC",0,0,0,9,7,7,"LC",0
"Lysandra coridon",8.96,33,33,"LC","EuropeanEndemic",0,0,8.96,21,21,"LC",0
"Speyeria aglaja",8.94,39,39,"LC",0,0,0,8.94,26,26,"LC",0
"Fabriciana adippe",8.8,37,37,"LC",0,0,0,8.8,24,24,"LC",0
"Limenitis camilla",8.57,35,35,"LC",0,0,0,8.57,24,24,"LC",0
"Gonepteryx cleopatra",8.44,13,13,"LC",0,0,0,8.44,9,9,"LC",0
"Apatura ilia",8.38,33,33,"LC",0,0,0,8.38,21,21,"LC",0
"Hipparchia senthes",8.25,4,4,"LC",0,0,0,8.25,2,2,"LC",0
"Pieris ergane",8.25,14,14,"LC",0,0,0,8.25,9,9,"LC",0
"Polyommatus aroaniensis",8.25,4,4,"LC","EuropeanEndemic",0,0,8.25,2,2,"LC",0
"Pyrgus carlinae",8.25,4,4,"LC","EuropeanEndemic",0,0,8.25,3,3,"LC",0
"Erebia pharte",8.25,10,10,"LC","EuropeanEndemic",0,0,8.25,8,8,"LC",0
"Hipparchia fatua",8.25,5,5,"LC",0,0,0,8.25,2,2,"LC",0
"Thecla betulae",8.22,39,39,"LC",0,0,0,8.22,26,26,"LC",0
"Polyommatus amandus",8.15,32,32,"LC",0,0,0,8.15,20,20,"LC",0
"Agriades orbitulus",8.12,10,10,"LC",0,0,0,8.12,6,6,"LC",0
"Boloria graeca",8.12,9,9,"LC",0,0,0,8.12,4,4,"LC",0
"Apatura iris",8.07,36,36,"LC",0,0,0,8.07,25,25,"LC",0
"Leptidea sinapis",8,39,39,"LC",0,0,0,8,26,26,"LC",0
"Erebia albergana",7.86,8,8,"LC","EuropeanEndemic",0,0,7.86,4,4,"LC",0
"Charaxes jasius",7.86,10,10,"LC",0,0,0,7.86,7,7,"LC",0
"Erebia calcarius",7.33,3,3,"LC","EuropeanEndemic",0,0,7.33,3,3,"LC","II+IV"
"Erebia gorgone",7.33,3,3,"LC","EuropeanEndemic",0,0,7.33,2,2,"LC",0
"Laeosopis roboris",7.33,4,4,"LC","EuropeanEndemic",0,0,7.33,3,3,"LC",0
"Boloria chariclea",7.33,4,4,"NT",0,0,0,7.33,2,2,"NT",0
"Colias tyche",7.33,4,4,"LC",0,0,0,7.33,2,2,"LC",0
"Oeneis norna",7.33,4,4,"NT",0,0,0,7.33,2,2,"NT",0
"Pyrgus centaureae",7.33,4,4,"LC",0,0,0,7.33,2,2,"LC",0
"Erebia pluto",7.33,7,7,"LC","EuropeanEndemic",0,0,7.33,5,5,"LC",0
"Polyommatus dolus",7.33,3,3,"LC","EuropeanEndemic",0,0,7.33,3,3,"LC",0
"Boloria napaea",7.33,11,11,"LC",0,0,0,7.33,7,7,"LC",0
"Lasiommata maera",7.25,36,36,"LC",0,0,0,7.25,23,23,"LC",0
"Carcharodus orientalis",7,11,11,"LC",0,0,0,7,4,4,"LC",0
"Plebejus argus",6.87,38,38,"LC",0,0,0,6.87,25,25,"LC",0
"Carterocephalus palaemon",6.66,36,36,"LC",0,0,0,6.66,23,23,"LC",0
"Satyrium spini",6.43,28,28,"LC",0,0,0,6.43,17,17,"LC",0
"Melanargia larissa",6.43,8,8,"LC",0,0,0,6.43,3,3,"LC",0
"Libythea celtis",6.38,21,21,"LC",0,0,0,6.37,13,13,"LC",0
"Pyrgus malvae",6.34,35,35,"LC",0,0,0,6.34,23,23,"LC",0
"Argynnis pandora",6.13,22,22,"LC",0,0,0,6.13,11,11,"LC",0
"Brintesia circe",6.05,24,24,"LC",0,0,0,6.05,14,14,"LC",0
"Papilio machaon",6.03,40,40,"LC",0,0,0,6.03,27,27,"LC",0
"Polyommatus escheri",5.83,13,13,"LC",0,0,0,5.83,7,7,"LC",0
"Colias alfacariensis",5.82,28,28,"LC",0,0,0,5.82,17,17,"LC",0
"Erebia triarius",5.8,12,12,"LC","EuropeanEndemic",0,0,5.8,6,6,"LC",0
"Erebia montana",5.75,6,6,"LC","EuropeanEndemic",0,0,5.75,4,4,"LC",0
"Anthocharis euphenoides",5.75,5,5,"LC","EuropeanEndemic",0,0,5.75,4,4,"LC",0
"Erebia mnestra",5.75,5,5,"LC","EuropeanEndemic",0,0,5.75,3,3,"LC",0
"Hipparchia fidia",5.75,5,5,"LC",0,0,0,5.75,4,4,"LC",0
"Satyrus actaea",5.75,5,5,"LC","EuropeanEndemic",0,0,5.75,4,4,"LC",0
"Argynnis paphia",5.62,39,39,"LC",0,0,0,5.62,26,26,"LC",0
"Carcharodus alceae",5.6,32,32,"LC",0,0,0,5.6,20,20,"LC",0
"Erebia oeme",5.47,18,18,"LC","EuropeanEndemic",0,0,5.47,10,10,"LC",0
"Erebia ottomana",5.22,10,10,"LC",0,0,0,5.22,5,5,"LC",0
"Pyrgus malvoides",5.22,11,11,"LC","EuropeanEndemic",0,0,5.22,8,8,"LC",0
"Lycaena candens",5.14,9,9,"LC",0,0,0,5.14,4,4,"LC",0
"Gegenes nostrodamus",5.14,9,9,"LC",0,0,0,5.14,6,6,"LC",0
"Leptotes pirithous",5.08,20,20,"LC",0,0,0,5.08,10,10,"LC",0
"Boloria dia",4.88,32,32,"LC",0,0,0,4.88,20,20,"LC",0
"Leptidea juvernica",4.86,34,34,0,0,0,0,4.86,23,23,0,0
"Parnassius phoebus",4.8,7,7,"NT",0,0,0,4.8,4,4,"NT",0
"Erebia melampus",4.8,6,6,"LC","EuropeanEndemic",0,0,4.8,4,4,"LC",0
"Erebia tyndarus",4.8,6,6,"LC","EuropeanEndemic",0,0,4.8,4,4,"LC",0
"Oeneis glacialis",4.8,6,6,"LC","EuropeanEndemic",0,0,4.8,4,4,"LC",0
"Lasiommata megera",4.77,40,40,"LC",0,0,0,4.77,27,27,"LC",0
"Muschampia proto",4.62,11,11,"LC",0,0,0,4.62,6,6,"LC",0
"Hipparchia volgensis",4.17,9,9,"LC","EuropeanEndemic",0,0,4.17,3,3,"LC",0
"Danaus chrysippus",4.17,9,9,"NtA",0,0,"EoR",4.17,7,7,"NtA",0
"Coenonympha gardetta",4.17,7,7,"LC","EuropeanEndemic",0,0,4.17,5,5,"LC",0
"Polyommatus icarus",3.97,41,41,"LC",0,0,0,3.97,28,28,"LC",0
"Colias phicomone",3.71,8,8,"NT","EuropeanEndemic",0,0,3.71,5,5,"NT",0
"Kirinia roxelana",3.71,10,10,"LC",0,0,0,3.71,5,5,"LC",0
"Favonius quercus",3.41,40,40,"LC",0,0,0,3.41,27,27,"LC",0
"Callophrys rubi",3.38,39,39,"LC",0,0,0,3.38,26,26,"LC",0
"Pontia edusa",3.18,28,28,"LC",0,0,0,3.18,18,18,"LC",0
"Lycaena tityrus",3.15,34,34,"LC",0,0,0,3.15,22,22,"LC",0
"Brenthis daphne",3,30,30,"LC",0,0,0,3,19,19,"LC",0
"Araschnia levana",2.81,32,32,"LC",0,0,0,2.81,23,23,"LC",0
"Issoria lathonia",2.6,37,37,"LC",0,0,0,2.6,24,24,"LC",0
"Lampides boeticus",2.46,22,22,"LC",0,0,0,2.46,10,10,"LC",0
"Aricia agestis",2.41,33,33,"LC",0,0,0,2.41,23,23,"LC",0
"Coenonympha pamphilus",2.19,40,40,"LC",0,0,0,2.19,27,27,"LC",0
"Erebia euryale",2,23,23,"LC",0,0,0,2,13,13,"LC",0
"Aphantopus hyperantus",1.91,38,38,"LC",0,0,0,1.91,25,25,"LC",0
"Maniola jurtina",1.91,41,41,"LC",0,0,0,1.91,27,27,"LC",0
"Colias hyale",1.76,31,31,"LC",0,0,0,1.76,20,20,"LC",0
"Ochlodes sylvanus",1.61,38,38,"LC",0,0,0,1.61,25,25,"LC",0
"Pararge aegeria",1.59,42,42,"LC",0,0,0,1.59,28,28,"LC",0
"Pieris brassicae",1.59,42,42,"LC",0,0,0,1.59,28,28,"LC",0
"Vanessa cardui",1.59,44,44,"LC",0,0,0,1.59,28,28,"LC",0
"Aglais io",1.59,39,39,"LC",0,0,0,1.59,26,26,"LC",0
"Polygonia c-album",1.59,39,39,"LC",0,0,0,1.59,26,26,"LC",0
"Thymelicus lineola",1.59,39,39,"LC",0,0,0,1.59,26,26,"LC",0
"Aglais urticae",1,39,39,"LC",0,0,0,1,26,26,"LC",0
"Gonepteryx rhamni",1,39,39,"LC",0,0,0,1,26,26,"LC",0
"Lycaena phlaeas",1,42,42,"LC",0,0,0,1,28,28,"LC",0
"Pieris napi",1,39,39,"LC",0,0,0,1,26,26,"LC",0
"Anthocharis cardamines",1,40,40,"LC",0,0,0,1,27,27,"LC",0
"Azanus ubaldus",1,3,3,"NtA",0,0,"EoR",1,2,2,"NtA",0
"Celastrina argiolus",1,41,41,"LC",0,0,0,1,28,28,"LC",0
"Colias crocea",1,38,38,"LC",0,0,0,1,24,24,"LC",0
"Colias erate",1,13,13,"LC",0,0,0,1,8,8,"LC",0
"Erebia stiria",1,4,4,"LC","EuropeanEndemic",0,0,1,4,4,"LC",0
"Melitaea celadussa",1,6,6,0,"EuropeanEndemic",0,0,1,4,4,0,0
"Pieris balcana",1,10,10,"LC","EuropeanEndemic",0,0,1,5,5,"LC",0
"Pieris rapae",1,43,43,"LC",0,0,0,1,28,28,"LC",0
"Pyronia cecilia",1,9,9,"LC",0,0,0,1,7,7,"LC",0
"Thymelicus sylvestris",1,36,36,"LC",0,0,0,1,24,24,"LC",0
"Vanessa atalanta",1,44,44,"LC",0,0,0,1,28,28,"LC",0
"Azanus jesous",1,1,1,0,0,0,"EoR",1,1,1,0,0
"Borbo borbonica",1,1,1,"NtA",0,0,0,1,1,1,"NtA",0
"Carcharodus stauderi",1,1,1,"NtA",0,0,"EoR",1,1,1,"NtA",0
"Carcharodus tripolinus",1,2,2,"LC",0,0,0,1,2,2,"LC",0
"Coenonympha thyrsis",1,1,1,"LC","EuropeanEndemic","Greece",0,1,1,1,"LC",0
"Colias aurorina",1,2,2,"LC",0,0,0,1,1,1,"LC",0
"Colotis evagore",1,1,1,"NtA",0,0,0,1,1,1,"NtA",0
"Cupido lorquinii",1,2,2,"LC",0,0,0,1,2,2,"LC",0
"Danaus plexippus",1,4,4,"NtA",0,0,"EoR",1,1,1,"NtA",0
"Erebia cassioides",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Erebia neoridas",1,4,4,"LC","EuropeanEndemic",0,0,1,3,3,"LC",0
"Erebia palarica",1,1,1,"LC","EuropeanEndemic","Spain",0,1,1,1,"LC",0
"Erebia zapateri",1,1,1,"LC","EuropeanEndemic","Spain",0,1,1,1,"LC",0
"Euchloe belemia",1,2,2,"LC",0,0,0,1,2,2,"LC",0
"Euchloe crameri",1,5,5,"LC",0,0,0,1,4,4,"LC",0
"Hipparchia blachieri",1,1,1,0,"EuropeanEndemic",0,0,1,1,1,0,0
"Hipparchia cretica",1,1,1,"LC","EuropeanEndemic","Greece - Crete",0,1,1,1,"LC",0
"Hipparchia leighebi",1,1,1,"NT","EuropeanEndemic","Italy - Aeolian Islands",0,1,1,1,"NT",0
"Hipparchia mersina",1,1,1,"NtA",0,0,"EoR",1,1,1,"NtA",0
"Hipparchia neapolitana",1,1,1,"LC","EuropeanEndemic","Italy",0,1,1,1,"LC",0
"Hipparchia syriaca",1,11,11,"LC",0,0,0,1,5,5,"LC",0
"Iolana debilitata",1,1,1,0,0,0,0,1,1,1,0,0
"Iphiclides feisthamelii",1,4,4,0,0,0,0,1,3,3,0,0
"Leptidea reali",1,4,4,"LC",0,0,0,1,3,3,"LC",0
"Lycaena bleusei",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Lysandra albicans",1,1,1,"LC",0,0,0,1,1,1,"LC",0
"Lysandra caelestissima",1,1,1,"LC","EuropeanEndemic","Spain",0,1,1,1,"LC",0
"Maniola chia",1,1,1,"LC","EuropeanEndemic","Greece - Chios",0,1,1,1,"LC",0
"Maniola nurag",1,1,1,"LC","EuropeanEndemic","Italy - Sardinia",0,1,1,1,"LC",0
"Maniola telmessia",1,1,1,"LC",0,0,0,1,1,1,"LC",0
"Melanargia arge",1,1,1,"LC","EuropeanEndemic","Italy",0,1,1,1,"LC","II+IV"
"Melanargia ines",1,2,2,"LC",0,0,0,1,2,2,"LC",0
"Melanargia lachesis",1,4,4,"LC","EuropeanEndemic",0,0,1,3,3,"LC",0
"Melanargia pherusa",1,1,1,"LC","EuropeanEndemic","Italy - Sicily",0,1,1,1,"LC",0
"Plebejidea loewii",1,2,2,"NtA",0,0,"EoR",1,1,1,"NtA",0
"Polyommatus fabressei",1,1,1,"LC","EuropeanEndemic","Spain",0,1,1,1,"LC",0
"Polyommatus fulgens",1,1,1,"LC","EuropeanEndemic","Spain",0,1,1,1,"LC",0
"Polyommatus nivescens",1,1,1,"NT","EuropeanEndemic","Spain",0,1,1,1,"NT",0
"Polyommatus timfristos",1,1,1,0,"EuropeanEndemic","Greece",0,1,1,1,0,0
"Polyommatus violetae",1,1,1,"VU","EuropeanEndemic","Spain",0,1,1,1,"VU",0
"Pontia daplidice",1,6,6,"LC",0,0,0,1,4,4,"LC",0
"Pseudochazara graeca",1,1,1,"LC","EuropeanEndemic",0,0,1,1,1,"LC",0
"Pseudophilotes abencerragus",1,2,2,"LC",0,0,0,1,2,2,"LC",0
"Pseudophilotes barbagiae",1,1,1,"LC","EuropeanEndemic","Italy - Sardinia",0,1,1,1,"LC",0
"Pseudophilotes panoptes",1,2,2,"NT","EuropeanEndemic",0,0,1,2,2,"NT",0
"Pyronia bathseba",1,3,3,"LC",0,0,0,1,3,3,"LC",0
"Satyrium esculi",1,5,5,"LC",0,0,0,1,4,4,"LC",0
"Spialia rosae",1,1,1,0,"EuropeanEndemic","Spain",0,1,1,1,0,0
"Tarucus theophrastus",1,1,1,"LC",0,0,0,1,1,1,"LC",0
"Thymelicus hyrax",1,2,2,"LC",0,0,0,1,1,1,"LC",0
"Vanessa virginiensis",1,2,2,"NtA",0,0,"EoR",1,2,2,"NtA",0
"Zerynthia cassandra",1,1,1,0,"EuropeanEndemic","Italy",0,1,1,1,0,0
"Zizeeria knysna",1,3,3,"NtA",0,0,"EoR",1,2,2,"NtA",0
"Erebia arvernensis",1,5,5,0,"EuropeanEndemic",0,0,1,3,3,0,0
"Lysandra hispana",1,3,3,"LC","EuropeanEndemic",0,0,1,3,3,"LC",0
"Pseudochazara anthelea",1,2,2,"LC",0,0,0,1,2,2,"LC",0
"Pyrgus foulquieri",1,3,3,"LC","EuropeanEndemic",0,0,1,3,3,"LC",0
"Aglais ichnusa",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Agriades pyrenaicus",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Aricia cramera",1,4,4,"LC",0,0,0,1,3,3,"LC",0
"Aricia montensis",1,3,3,"LC",0,0,0,1,2,2,"LC",0
"Coenonympha corinna",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Coenonympha leander",1,8,8,"LC",0,0,0,1,3,3,"LC",0
"Erebia aethiopella",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Erebia hispania",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Erebia rondoui",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Erebia sthennyo",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Euchloe insularis",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Hipparchia aristaeus",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Hipparchia neomiris",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Lasiommata paramegaera",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Melanargia galathea",1,30,30,"LC",0,0,0,1,19,19,"LC",0
"Papilio hospiton",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC","II+IV"
"Plebejus bellieri",1,2,2,"LC","EuropeanEndemic",0,0,1,2,2,"LC",0
"Polyommatus celina",1,5,5,0,0,0,0,1,4,4,0,0
"Glaucopsyche melanops",1,4,4,"LC",0,0,0,1,4,4,"LC",0
"Melanargia occitanica",1,4,4,"LC",0,0,0,1,4,4,"LC",0
"Boloria alaskensis",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Boloria angarensis",0,1,0,"NtA",0,0,0,0,0,0,"NtA",0
"Boloria oscarus",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Boloria selenis",0,1,0,"LC",0,0,0,0,0,0,"NE",0
"Boloria tritonia",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Callophrys chalybeitincta",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Callophrys suaveola",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Catopsilia florella",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Cigaritis acamas",0,1,0,"NtA",0,0,"EoR",0,0,1,"NtA",0
"Coenonympha amaryllis",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Cyclyrius webbianus",0,1,0,"LC","EuropeanEndemic","Canary Islands",0,0,0,0,"LC",0
"Erebia callias",0,1,0,0,0,0,"EoR",0,0,0,0,0
"Erebia cyclopius",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Erebia dabanensis",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Erebia discoidalis",0,1,0,"LC",0,0,0,0,0,0,"NE",0
"Erebia edda",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Erebia fasciata",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Erebia jeniseiensis",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Erebia rossii",0,1,0,"NtA",0,0,0,0,0,0,"NtA",0
"Euchloe charlonia",0,1,0,"LC",0,0,"EoR",0,0,0,"LC",0
"Euchloe eversi",0,1,0,"LC","EuropeanEndemic","Canary Islands",0,0,0,0,"LC",0
"Euchloe grancanariensis",0,1,0,"LC","EuropeanEndemic","Canary Islands",0,0,0,0,"LC",0
"Euchloe hesperidum",0,1,0,"LC","EuropeanEndemic","Canary Islands",0,0,0,0,"LC",0
"Glabroculus cyane",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Glaucopsyche paphos",0,1,0,"LC","EuropeanEndemic","Cyprus",0,0,0,1,"LC",0
"Gonepteryx cleobule",0,1,0,"VU","EuropeanEndemic","Canary Islands",0,0,0,0,"VU",0
"Gonepteryx maderensis",0,1,0,"EN","EuropeanEndemic","Madeira Islands",0,0,0,0,"EN",0
"Hipparchia autonoe",0,1,0,"LC",0,0,0,0,0,0,"NE",0
"Hipparchia azorina",0,1,0,"LC","EuropeanEndemic","Azores",0,0,0,0,"LC",0
"Hipparchia bacchus",0,1,0,"VU","EuropeanEndemic","Canary Islands",0,0,0,0,"VU",0
"Hipparchia cypriensis",0,1,0,"LC","EuropeanEndemic","Cyprus",0,0,0,1,"LC",0
"Hipparchia gomera",0,1,0,"LC","EuropeanEndemic","Canary Islands",0,0,0,0,"LC",0
"Hipparchia maderensis",0,1,0,"LC","EuropeanEndemic","Madeira Islands",0,0,0,0,"LC",0
"Hipparchia miguelensis",0,1,0,"LC","EuropeanEndemic","Azores",0,0,0,0,"LC",0
"Hipparchia tamadabae",0,1,0,"LC","EuropeanEndemic","Canary Islands",0,0,0,0,"LC",0
"Hipparchia tilosi",0,1,0,"VU","EuropeanEndemic","Canary Islands",0,0,0,0,"VU",0
"Hipparchia wyssii",0,1,0,"LC","EuropeanEndemic","Canary Islands",0,0,0,0,"LC",0
"Hyponephele huebneri",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Issoria eugenia",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Lasiommata deidamia",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Luthrodes galba",0,1,0,"NtA",0,0,"EoR",0,0,1,"NtA",0
"Lycaena dimorpha",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Lysandra corydonius",0,1,0,"LC",0,0,0,0,0,0,"NE",0
"Maniola cypricola",0,1,0,"LC","EuropeanEndemic","Cyprus",0,0,0,1,"LC",0
"Oeneis ammon",0,1,0,0,0,0,"EoR",0,0,0,0,0
"Oeneis magna",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Oeneis melissa",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Oeneis polixenes",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Pararge xiphia",0,1,0,"EN","EuropeanEndemic","Madeira Islands",0,0,0,0,"EN",0
"Pararge xiphioides",0,1,0,"LC","EuropeanEndemic","Canary Islands",0,0,0,0,"LC",0
"Pelopidas thrax",0,1,0,"NtA",0,0,"EoR",0,0,1,"NtA",0
"Pieris cheiranthi",0,1,0,"EN","EuropeanEndemic","Canary Islands",0,0,0,0,"EN",0
"Pieris wollastoni",0,1,0,"CR","EuropeanEndemic","Madeira Islands",0,0,0,0,"CR",0
"Praephilotes anthracias",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Pseudochazara mercurius",0,1,0,0,0,0,"EoR",0,0,0,0,0
"Thymelicus christi",0,1,0,"LC","EuropeanEndemic","Canary Islands",0,0,0,0,"LC",0
"Tongeia fischeri",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Vanessa vulcania",0,2,0,"LC","EuropeanEndemic",0,0,0,0,0,"LC",0
"Zegris pyrothoe",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Zerynthia caucasica",0,1,0,"NtA",0,0,"EoR",0,0,0,"NtA",0
"Cacyreus marshalli",0,0,0,"NtA",0,0,0,0,0,0,"NtA",0
"Hypolimnas misippus",0,0,0,0,0,0,"EoR",0,0,0,0,0
